Country Name,Year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Bank nonperforming loans to total gross loans (%),Bank capital to assets ratio (%),Broad money (% of GDP),Broad money growth (annual %),"Commercial bank branches (per 100,000 adults)","Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",FDI
Czechia,2021,4.479943031169903,4.479127032047622,3.896639570668887,3.8965234622310585,2.0692405250198664,1.921579721952995,4.416886764715411,1.8994015982101031,2.844288053760732,4.018850230392174,5.683105875348143,6.812550953979721,2.5322626904801884,0.5427162690199341,2.5695846813999617,56.47509737069157
Czechia,2022,,,,,,,,,,,,,,,,
Czechia,2022,4.239748677276883,4.146253214804603,3.8309072230537424,3.83078126545244,2.2252166548719288,1.891995824962985,4.366555450752079,1.797598757758282,2.780088310595577,4.09435315757557,5.694598139702335,6.889219754708911,2.237894725497549,0.6264601506881365,2.9455952497989912,55.123905088075595
Czechia,2023,,,,,,,,,,,,,,,,
Czechia,2023,4.267436011574152,4.189795067314174,3.8176614151579065,3.8175384597153768,1.3964673926673579,2.1731540273887227,4.381355114047043,2.2568366230338794,2.7063504038700694,4.09435315757557,5.716849047814561,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,59.200402096122495
Denmark,2021,,,,,,,,,,,,,,,,
Denmark,2021,4.530195927798776,4.530195927798776,4.949649127279404,4.949649127279404,2.384295455589792,1.5579476916515578,4.0521122002948005,-0.7391944392431935,2.832837680027682,3.665427814873331,5.683105875348143,6.812550953979721,4.071611734794018,3.529075770284782,3.712903298269079,60.42529251998226
Denmark,2022,,,,,,,,,,,,,,,,
Denmark,2022,4.239748677276883,4.146253214804603,4.874174703420422,4.874174703420422,2.5351124110726104,1.5754391108304884,4.043728670962718,2.2663696473155417,2.8352304709905725,4.09435315757557,5.694598139702335,6.889219754708911,3.9210523049160178,3.395447459449998,3.639141274750644,62.77610440279573
Denmark,2023,,,,,,,,,,,,,,,,
Denmark,2023,4.267436011574152,4.189795067314174,4.899827281128534,4.899827281128534,1.3964673926673579,2.1731540273887227,4.102948430268925,1.56270474771017,2.7875428303100165,4.09435315757557,5.716849047814561,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,62.42095578320625
Dominican Republic,2021,,,,,,,,,,,,,,,,
Dominican Republic,2021,3.8827883640391097,3.6130044667935137,3.291050805778406,3.2471997663544307,2.330760558865287,2.148971673629352,3.6449213546831234,2.5933636832353137,2.386967222608836,3.5886466934774486,5.20828434335107,6.386135807510829,4.071611734794018,3.529075770284782,3.712903298269079,53.30466793431906
Dominican Republic,2022,,,,,,,,,,,,,,,,
Dominican Republic,2022,3.8827883640391097,3.6130044667935137,3.291116739931468,3.252443446212028,2.791927755595015,3.640916353574768,3.552331625794492,1.706578287697868,2.3627889893941,4.09435315757557,5.263338629415284,6.459777011754093,3.9210523049160178,3.395447459449998,3.639141274750644,62.125691937393476
Dominican Republic,2023,,,,,,,,,,,,,,,,
Dominican Republic,2023,4.267436011574152,4.189795067314174,3.3792247933524804,3.3452150940600265,1.3964673926673579,2.1731540273887227,3.600722701859046,2.6475742060610234,2.363156947538691,4.09435315757557,5.362678970334822,6.490694454619136,3.999266767780342,3.464564877735565,3.67672556872098,54.09915659678066
El Salvador,2021,,,,,,,,,,,,,,,,
El Salvador,2021,3.5339406280542445,3.104011834106672,4.053279732552292,3.9056871090536736,1.9976929590409367,2.169072534972903,4.048905042872168,0.8121090240247892,2.2102068966049235,3.5455619943106327,5.683105875348143,6.518299888422011,4.071611734794018,3.529075770284782,3.712903298269079,52.66098162907732
El Salvador,2022,,,,,,,,,,,,,,,,
El Salvador,2022,4.239748677276883,4.146253214804603,4.07279540087417,3.9112491196706696,2.0120692912621547,2.156986799885636,3.999216919187958,1.528373073309781,2.1907914523502314,4.09435315757557,5.694598139702335,6.583698285295279,3.9210523049160178,3.395447459449998,3.639141274750644,58.28389137320593
El Salvador,2023,,,,,,,,,,,,,,,,
El Salvador,2023,4.267436011574152,4.189795067314174,4.060667171612932,3.898543231071036,1.3964673926673579,2.1731540273887227,4.022216989501644,2.167243174084009,2.2106017175271377,4.09435315757557,5.716849047814561,6.6532293766492,3.999266767780342,3.464564877735565,3.67672556872098,57.76867355156845
Estonia,2021,,,,,,,,,,,,,,,,
Estonia,2021,4.524177895280094,4.524956537042111,4.023426823361086,4.0232705791809815,2.5168271129863395,2.208755287764509,4.2561310510639645,2.488335238804499,1.9959569797391128,4.076354930936764,5.974481035259815,7.415818460299999,4.071611734794018,3.529075770284782,3.712903298269079,65.75062927249317
Estonia,2022,,,,,,,,,,,,,,,,
Estonia,2022,4.239748677276883,4.146253214804603,3.98526087640365,3.985167340326944,2.82173644014375,2.2355259894028814,4.200978713659815,2.3174486825525635,1.9080441287453245,4.09435315757557,6.018852647846071,7.428372768827728,3.9210523049160178,3.395447459449998,3.639141274750644,64.30740154445485
Estonia,2023,,,,,,,,,,,,,,,,
Estonia,2023,4.267436011574152,4.189795067314174,4.000592863960912,4.000548937908547,1.3964673926673579,2.1731540273887227,4.20006112206934,2.5658460158646195,1.8678074545033216,4.09435315757557,6.019172016544871,7.454595942830085,3.999266767780342,3.464564877735565,3.67672556872098,60.279797909911814
Fiji,2021,,,,,,,,,,,,,,,,
Fiji,2021,4.29434920032535,4.231453370382992,4.8162519580315095,4.431875258926468,0.4781079755316826,2.3579235834956807,4.616772989614218,2.4143910592500624,2.317162701518643,3.8671211648872967,5.683105875348143,6.812550953979721,4.071611734794018,3.529075770284782,3.712903298269079,61.00487535852908
Fiji,2022,,,,,,,,,,,,,,,,
Fiji,2022,4.239748677276883,4.146253214804603,4.695002336962846,4.296401305612041,0.5095579444960419,2.253334074644921,4.466592633336294,1.616036873124231,2.307503959795499,4.09435315757557,5.694598139702335,6.889219754708911,3.9210523049160178,3.395447459449998,3.639141274750644,58.3485759346144
Fiji,2023,,,,,,,,,,,,,,,,
Fiji,2023,4.267436011574152,4.189795067314174,4.659660016364696,4.257690351085239,1.3964673926673579,2.1731540273887227,4.438727812248278,2.1530824001368267,2.84298120958708,4.09435315757557,5.716849047814561,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,62.113674892254124
Finland,2021,,,,,,,,,,,,,,,,
Finland,2021,4.525637331328094,4.5187096625470655,4.531552474146718,4.516393859252006,2.214742200745128,1.799967884648531,4.2561310510639645,2.488335238804499,1.804038666901031,3.558106789823461,5.683105875348143,6.812550953979721,4.071611734794018,3.529075770284782,3.712903298269079,62.462309763586745
Finland,2022,,,,,,,,,,,,,,,,
Finland,2022,4.239748677276883,4.146253214804603,4.492722276090948,4.477491308545387,2.298861457728688,1.7364724256714816,4.200978713659815,2.3174486825525635,1.7740817026465163,4.09435315757557,5.694598139702335,6.889219754708911,3.9210523049160178,3.395447459449998,3.639141274750644,60.51102698004359
Finland,2023,,,,,,,,,,,,,,,,
Finland,2023,4.267436011574152,4.189795067314174,4.461054887877736,4.446820732953287,1.3964673926673579,2.1731540273887227,4.20006112206934,2.5658460158646195,1.7590207061136844,4.09435315757557,5.716849047814561,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,60.76635011551554
France,2021,,,,,,,,,,,,,,,,
France,2021,4.522813751948105,4.514587967722026,4.712294389010742,4.675802458719319,1.8278143661937787,1.7335644498634404,4.2561310510639645,2.488335238804499,3.455906445856676,4.09435315757557,5.683105875348143,6.812550953979721,4.071611734794018,3.529075770284782,3.712903298269079,64.03811704174177
France,2022,,,,,,,,,,,,,,,,
France,2022,4.239748677276883,4.146253214804603,4.700243267159964,4.6618915509150485,1.8704881884726272,1.6663655601715923,4.200978713659815,2.3174486825525635,3.4276489383888475,4.09435315757557,5.694598139702335,6.889219754708911,3.9210523049160178,3.395447459449998,3.639141274750644,61.538774104003345
France,2023,,,,,,,,,,,,,,,,
France,2023,4.267436011574152,4.189795067314174,4.64609436157566,4.609651476472248,1.3964673926673579,2.1731540273887227,4.20006112206934,2.5658460158646195,3.4004129204654614,4.09435315757557,5.716849047814561,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,63.393782256237564
Georgia,2021,,,,,,,,,,,,,,,,
Georgia,2021,4.191535317663024,4.073870695233012,4.223902677806799,4.18508947396126,1.9719718241066881,2.5445581140426,3.963429829225337,2.413524046143116,3.4101348202125403,4.484520161870436,6.153421005621812,6.774136524665091,4.071611734794018,3.529075770284782,3.712903298269079,64.8683355522143
Georgia,2022,,,,,,,,,,,,,,,,
Georgia,2022,4.191535317663024,4.073870695233012,4.083198491421005,4.040301960145581,2.1855341360107854,2.5385335427941325,3.8880990299883273,2.3807786293270343,3.402729689668905,4.09435315757557,6.163805837151333,6.812766289335901,3.9210523049160178,3.395447459449998,3.639141274750644,64.03871110411252
Georgia,2023,,,,,,,,,,,,,,,,
