Country Name,Year,CPIA gender equality rating (1=low to 6=high),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",GOAL 2: Zero Hunger (5 year moving average),Newborns protected against tetanus (%),"School enrollment, primary (% gross)","Life expectancy at birth, total (years)",People using at least basic sanitation services (% of population),Gini index,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Social_Equity_Index
Cyprus,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.6948672334338909,4.463036562993165,4.5007362455862925,4.3338666207608485,4.430623698940526,3.401579615928653,2.6143204865440173,-2.3216392926406413,69.57002413475293
Czechia,2021,1.2904492808032562,4.479127032047622,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.546295348074604,4.279848911232251,4.521805350479342,3.2279352979437386,1.379448141588215,-1.2091686164783046,76.55338079245729
Czechia,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.539587518611835,4.301046575420248,4.521802629442442,3.2279352979437386,1.0943097372145796,-1.2091686164783046,77.47175422076906
Czechia,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.539587518611835,4.312627675327093,4.430623698940526,3.2279352979437386,1.0943097372145796,-1.2091686164783046,76.76511730110654
Denmark,2021,1.2904492808032562,4.530195927798776,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.533175609284664,4.330976849461513,4.526290709952486,3.3032378563244813,2.0640629157319244,-1.2091686164783046,77.66316472971482
Denmark,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.532558393133868,4.329785715944079,4.526290724398123,3.3032378563244813,1.780333829303916,-1.2091686164783046,76.30002595770151
Denmark,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.532558393133868,4.336304340207006,4.430623698940526,3.3032378563244813,1.379448141588215,-1.2091686164783046,76.03358979983508
Dominican Republic,2021,1.2904492808032562,3.6130044667935137,4.478514577736145,4.299457844608495,-0.511759409892192,4.520470705025596,4.499426515715913,4.208677419578176,4.408569900700682,3.6034360573704793,4.941067287237012,3.109082511549275,57.49176904183767
Dominican Republic,2022,1.2904492808032562,3.6130044667935137,4.475446438362586,4.312893975821669,-0.3571300238567617,4.520470705025596,4.534947606276882,4.241288811179494,4.413920153030632,3.5647138791301503,4.7381813556045485,3.034654209672438,61.8395572746697
Dominican Republic,2023,1.2904492808032562,4.189795067314174,4.512619024276643,4.268685704379358,-0.2233216140000439,4.520470705025596,4.477661120775309,4.234851662957568,4.430623698940526,3.5647138791301503,4.7381813556045485,3.034654209672438,62.89610232247459
